rmse,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,early_stopping_rounds
20.03472099047091,512,7,0.12083303433372362,0.9001359078897981,0.7144428734906163,27
33.56575323211238,184,9,0.04495303437486586,0.8724568321692311,0.615551474694169,29
24.150120755796053,709,13,0.07157751814699602,0.7131719696720463,0.7487230134147296,15
28.703568357014102,655,8,0.09241450507128193,0.6609455387046423,0.7727618544179305,17
17.39436852537293,995,12,0.02138173934033233,0.7296121604699699,0.8306026664376531,11
32.710992543839524,495,5,0.02014359675175878,0.8408793525572836,0.9272526122124777,50
18.531287053346176,759,10,0.03743829812855595,0.7628740024859453,0.7268045506846517,44
21.554868724319714,693,3,0.08662976230039325,0.9587567746523502,0.9876730021450951,36
18.890335825433496,623,11,0.06134055360129386,0.8327213945982868,0.9848395009506359,15
23.154723823694432,275,10,0.18966908327176385,0.5339899334045313,0.5745916041988409,40
22.920020321608984,788,14,0.11956093921456636,0.7470436605925913,0.6510289951526421,34
26.900898222834726,159,9,0.2347587453884342,0.8992914627461561,0.5168136862814693,25
24.393971733475336,960,12,0.02221706465754754,0.7557910049020304,0.8573958029440494,49
16.518396468029213,653,3,0.28005400161412425,0.9827767251622996,0.5040919922398078,19
